SECTION: LEADERBOARD
rank,model,model_type,mean_brier,n_rows,parse_rate
1,gpt-5.4,reasoning,0.1367,684,1.0000
2,kimi-k2.6,reasoning,0.1401,684,0.9459
3,gemini-3.1-pro,reasoning,0.1427,684,0.9620
4,claude-opus-4.6,reasoning,0.1444,684,0.9868
5,grok-4.20,reasoning,0.1611,684,0.9971
6,deepseek-v3.2-speciale,reasoning,0.1624,684,0.9883
7,glm-5.1,standard,0.1729,684,0.9635
8,qwen3-max,reasoning,0.1758,715,0.9497
9,gemma-4-31b,standard,0.1786,684,0.9956
10,gemini-3-flash,standard,0.1796,684,1.0000
11,gpt-oss-120b,standard,0.1852,684,0.8567
12,mistral-large,standard,0.2151,684,0.9430

SECTION: BRIER BY MODEL x PROMPT x CONDITION (72 cells)
model,model_type,prompt,condition,mean_brier,n_rows,parse_rate,flagged_low_parse
claude-opus-4.6,reasoning,P1,closed_book,0.1611,114,1.0000,
claude-opus-4.6,reasoning,P1,shared_evidence,0.1360,114,0.9737,
claude-opus-4.6,reasoning,P2,closed_book,0.1631,114,0.9912,
claude-opus-4.6,reasoning,P2,shared_evidence,0.1187,114,0.9737,
claude-opus-4.6,reasoning,P3,closed_book,0.1593,114,0.9912,
claude-opus-4.6,reasoning,P3,shared_evidence,0.1274,114,0.9912,
deepseek-v3.2-speciale,reasoning,P1,closed_book,0.1763,114,1.0000,
deepseek-v3.2-speciale,reasoning,P1,shared_evidence,0.1457,114,0.9912,
deepseek-v3.2-speciale,reasoning,P2,closed_book,0.1672,114,0.9825,
deepseek-v3.2-speciale,reasoning,P2,shared_evidence,0.1476,114,1.0000,
deepseek-v3.2-speciale,reasoning,P3,closed_book,0.1700,114,0.9649,
deepseek-v3.2-speciale,reasoning,P3,shared_evidence,0.1682,114,0.9912,
gemini-3-flash,standard,P1,closed_book,0.1980,114,1.0000,
gemini-3-flash,standard,P1,shared_evidence,0.1666,114,1.0000,
gemini-3-flash,standard,P2,closed_book,0.1855,114,1.0000,
gemini-3-flash,standard,P2,shared_evidence,0.1671,114,1.0000,
gemini-3-flash,standard,P3,closed_book,0.1899,114,1.0000,
gemini-3-flash,standard,P3,shared_evidence,0.1702,114,1.0000,
gemini-3.1-pro,reasoning,P1,closed_book,0.1657,114,0.9825,
gemini-3.1-pro,reasoning,P1,shared_evidence,0.1088,114,0.9737,
gemini-3.1-pro,reasoning,P2,closed_book,0.1784,114,0.9737,
gemini-3.1-pro,reasoning,P2,shared_evidence,0.1060,114,0.9737,
gemini-3.1-pro,reasoning,P3,closed_book,0.1783,114,0.9474,
gemini-3.1-pro,reasoning,P3,shared_evidence,0.1182,114,0.9211,
gemma-4-31b,standard,P1,closed_book,0.1765,114,0.9737,
gemma-4-31b,standard,P1,shared_evidence,0.1731,114,1.0000,
gemma-4-31b,standard,P2,closed_book,0.1879,114,1.0000,
gemma-4-31b,standard,P2,shared_evidence,0.1620,114,1.0000,
gemma-4-31b,standard,P3,closed_book,0.1961,114,1.0000,
gemma-4-31b,standard,P3,shared_evidence,0.1757,114,1.0000,
glm-5.1,standard,P1,closed_book,0.1750,114,0.9825,
glm-5.1,standard,P1,shared_evidence,0.1632,114,0.9561,
glm-5.1,standard,P2,closed_book,0.2063,114,0.9474,
glm-5.1,standard,P2,shared_evidence,0.1535,114,0.9825,
glm-5.1,standard,P3,closed_book,0.1912,114,0.9561,
glm-5.1,standard,P3,shared_evidence,0.1488,114,0.9561,
gpt-5.4,reasoning,P1,closed_book,0.1421,114,1.0000,
gpt-5.4,reasoning,P1,shared_evidence,0.1245,114,1.0000,
gpt-5.4,reasoning,P2,closed_book,0.1476,114,1.0000,
gpt-5.4,reasoning,P2,shared_evidence,0.1412,114,1.0000,
gpt-5.4,reasoning,P3,closed_book,0.1484,114,1.0000,
gpt-5.4,reasoning,P3,shared_evidence,0.1166,114,1.0000,
gpt-oss-120b,standard,P1,closed_book,0.1671,114,0.9123,
gpt-oss-120b,standard,P1,shared_evidence,0.1455,114,0.9649,
gpt-oss-120b,standard,P2,closed_book,0.1634,114,0.7807,
gpt-oss-120b,standard,P2,shared_evidence,0.1825,114,0.8246,
gpt-oss-120b,standard,P3,closed_book,0.2474,114,0.8070,
gpt-oss-120b,standard,P3,shared_evidence,0.2131,114,0.8509,
grok-4.20,reasoning,P1,closed_book,0.1779,114,1.0000,
grok-4.20,reasoning,P1,shared_evidence,0.1548,114,0.9912,
grok-4.20,reasoning,P2,closed_book,0.1764,114,1.0000,
grok-4.20,reasoning,P2,shared_evidence,0.1409,114,0.9912,
grok-4.20,reasoning,P3,closed_book,0.1790,114,1.0000,
grok-4.20,reasoning,P3,shared_evidence,0.1375,114,1.0000,
kimi-k2.6,reasoning,P1,closed_book,0.1556,114,0.9298,
kimi-k2.6,reasoning,P1,shared_evidence,0.1343,114,0.9561,
kimi-k2.6,reasoning,P2,closed_book,0.1622,114,0.9737,
kimi-k2.6,reasoning,P2,shared_evidence,0.1149,114,0.9912,
kimi-k2.6,reasoning,P3,closed_book,0.1471,114,0.8947,
kimi-k2.6,reasoning,P3,shared_evidence,0.1277,114,0.9298,
mistral-large,standard,P1,closed_book,0.1932,114,1.0000,
mistral-large,standard,P1,shared_evidence,0.2157,114,1.0000,
mistral-large,standard,P2,closed_book,0.1600,114,0.6930,
mistral-large,standard,P2,shared_evidence,0.2066,114,0.9912,
mistral-large,standard,P3,closed_book,0.2857,114,0.9912,
mistral-large,standard,P3,shared_evidence,0.2128,114,0.9825,
qwen3-max,reasoning,P1,closed_book,0.1886,114,1.0000,
qwen3-max,reasoning,P1,shared_evidence,0.1481,117,0.9658,
qwen3-max,reasoning,P2,closed_book,0.1860,121,0.9339,
qwen3-max,reasoning,P2,shared_evidence,0.1550,120,0.9417,
qwen3-max,reasoning,P3,closed_book,0.1925,124,0.9113,
qwen3-max,reasoning,P3,shared_evidence,0.1843,119,0.9496,

SECTION: PROMPT x CONDITION INTERACTION
prompt,cb_brier,se_brier,delta_se_minus_cb,n_cb,n_se
P1,0.1732,0.1515,-0.0217,1343,1345
P2,0.1741,0.1493,-0.0248,1292,1336
P3,0.1899,0.1581,-0.0318,1316,1324

SECTION: EVIDENCE EFFECT PER MODEL (ranked most helped to most hurt)
model,model_type,cb_brier,se_brier,delta_se_minus_cb
gemini-3.1-pro,reasoning,0.1741,0.1109,-0.0632
glm-5.1,standard,0.1906,0.1551,-0.0355
claude-opus-4.6,reasoning,0.1612,0.1274,-0.0338
grok-4.20,reasoning,0.1778,0.1444,-0.0334
kimi-k2.6,reasoning,0.1552,0.1255,-0.0297
qwen3-max,reasoning,0.1890,0.1625,-0.0265
gemini-3-flash,standard,0.1912,0.1680,-0.0232
gpt-5.4,reasoning,0.1460,0.1274,-0.0186
