category,model_key,prompt,condition,question_id,question,forecast,resolution,brier,note
worst_forecast,gpt-5.4,P1,closed_book,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.0000,1.00000,1.0000,
worst_forecast,gpt-5.4,P1,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,gpt-5.4,P2,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,gemini-3.1-pro,P1,closed_book,0xf74795c449ba15be6b0541c73beaa51d01d840606c84331ad97375b55004ccba,Will Solana reach $140 in March?,1.0000,0.00000,1.0000,
worst_forecast,gemini-3.1-pro,P1,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,1.0000,0.00000,1.0000,
worst_forecast,deepseek-v3.2-speciale,P1,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,deepseek-v3.2-speciale,P2,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,deepseek-v3.2-speciale,P2,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,1.0000,0.00000,1.0000,
worst_forecast,deepseek-v3.2-speciale,P3,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,kimi-k2.6,P1,shared_evidence,0x7f3c6b9029a1a4a932509c147a2cc0762e1116b7a4568cde472908b29dd4889d,"Will the U.S. invade Venezuela by January 31, 2026?",1.0000,0.00000,1.0000,
worst_forecast,kimi-k2.6,P1,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,kimi-k2.6,P1,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,1.0000,0.00000,1.0000,
worst_forecast,kimi-k2.6,P2,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,1.0000,0.00000,1.0000,
worst_forecast,gemini-3-flash,P2,shared_evidence,RJH3aufks8LK0Pjyhrgl,If Trump wins the election will the inflation rate in 2025 be below 2.5% (Current 2.5%)?,1.0000,0.00000,1.0000,
worst_forecast,gemma-4-31b,P1,shared_evidence,0x7f3c6b9029a1a4a932509c147a2cc0762e1116b7a4568cde472908b29dd4889d,"Will the U.S. invade Venezuela by January 31, 2026?",1.0000,0.00000,1.0000,
worst_forecast,gemma-4-31b,P1,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0.00000,1.0000,
worst_forecast,gemma-4-31b,P1,shared_evidence,36487,"In 2025, will the domestic content requirements become mandatory for obtaining the IRA's Production ",1.0000,0.00000,1.0000,
worst_forecast,gemma-4-31b,P1,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,1.0000,0.00000,1.0000,
worst_forecast,gemma-4-31b,P2,shared_evidence,0x7f3c6b9029a1a4a932509c147a2cc0762e1116b7a4568cde472908b29dd4889d,"Will the U.S. invade Venezuela by January 31, 2026?",1.0000,0.00000,1.0000,
worst_forecast,gemma-4-31b,P2,shared_evidence,36487,"In 2025, will the domestic content requirements become mandatory for obtaining the IRA's Production ",1.0000,0.00000,1.0000,
overconf_high_on_NO,gpt-5.4,P2,closed_book,4919,"At the end of 2025, will any of GiveWell's top charities perform mass deworming as their primary int",0.8900,0,0.7921,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P1,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0,1.0000,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P1,shared_evidence,26328,Will there be any reported human-to-human transmission of highly pathogenic avian influenza H5N1 glo,0.8200,0,0.6724,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P1,shared_evidence,36487,"In 2025, will the domestic content requirements become mandatory for obtaining the IRA's Production ",0.9000,0,0.8100,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P1,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,0.9900,0,0.9801,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P2,shared_evidence,4919,"At the end of 2025, will any of GiveWell's top charities perform mass deworming as their primary int",0.9400,0,0.8836,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P2,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",1.0000,0,1.0000,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P2,shared_evidence,36487,"In 2025, will the domestic content requirements become mandatory for obtaining the IRA's Production ",0.8300,0,0.6889,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P2,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,0.9900,0,0.9801,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P3,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",0.9900,0,0.9801,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P3,shared_evidence,36487,"In 2025, will the domestic content requirements become mandatory for obtaining the IRA's Production ",0.9700,0,0.9409,"forecast>0.8, outcome=0"
overconf_high_on_NO,gpt-5.4,P3,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,0.9900,0,0.9801,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,closed_book,4919,"At the end of 2025, will any of GiveWell's top charities perform mass deworming as their primary int",0.9500,0,0.9025,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,closed_book,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",0.8200,0,0.6724,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,closed_book,38712,Will any new country attack Israel or Iran between June and December 2025?,0.8200,0,0.6724,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,closed_book,35573,¿Cerrará Bitcoin el 2025 más alto de lo que empezó?,0.8200,0,0.6724,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P2,closed_book,4919,"At the end of 2025, will any of GiveWell's top charities perform mass deworming as their primary int",0.9600,0,0.9216,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P2,closed_book,20172,"Before 2026, will OpenAI's commercial operations cease to be governed by its nonprofit board of dire",0.8500,0,0.7225,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P2,closed_book,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",0.9500,0,0.9025,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P2,closed_book,35573,¿Cerrará Bitcoin el 2025 más alto de lo que empezó?,0.8300,0,0.6889,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P3,closed_book,4919,"At the end of 2025, will any of GiveWell's top charities perform mass deworming as their primary int",0.9700,0,0.9409,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P3,closed_book,20172,"Before 2026, will OpenAI's commercial operations cease to be governed by its nonprofit board of dire",0.8200,0,0.6724,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P3,closed_book,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",0.8500,0,0.7225,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P3,closed_book,35573,¿Cerrará Bitcoin el 2025 más alto de lo que empezó?,0.8700,0,0.7569,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,shared_evidence,4919,"At the end of 2025, will any of GiveWell's top charities perform mass deworming as their primary int",0.9700,0,0.9409,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,shared_evidence,40852,"Will the US House of Representatives censure, expel or reprimand any of its members before April 1, ",0.9800,0,0.9604,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,shared_evidence,36487,"In 2025, will the domestic content requirements become mandatory for obtaining the IRA's Production ",0.9000,0,0.8100,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,shared_evidence,0x3bc785525e9bb8e8f2e64ed116ee8b8169abca30a2beaa1b366365f220dbb1e0,Elon no longer world's richest before 2026?,0.9900,0,0.9801,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,shared_evidence,0xf6890c707d1e327b006b9511bdba8c98ec4e4978646c6ffcf3ec8750c26a666a,Will Crude Oil (CL) hit (HIGH) $105 by end of March?,0.9700,0,0.9409,"forecast>0.8, outcome=0"
overconf_high_on_NO,claude-opus-4.6,P1,shared_evidence,35573,¿Cerrará Bitcoin el 2025 más alto de lo que empezó?,0.9300,0,0.8649,"forecast>0.8, outcome=0"
overconf_low_on_YES,gpt-5.4,P1,closed_book,0x58234757c9519ddfffdbc8f33bea3b172d5a55a7fedb07c6df4fed1e97ba1ca7,Will the Detroit Pistons win the 2025–2026 NBA Central Division?,0.0700,1,0.8649,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P1,closed_book,0IUCA5s8EN,Will the US strike Iran by the end of February?,0.1400,1,0.7396,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P1,closed_book,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.0000,1,1.0000,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P1,closed_book,42472,Will the US and Iran agree to a ceasefire before May 2026?,0.1800,1,0.6724,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P1,closed_book,0xcb139a61f2cc201078f5ed717781b7227b740645d07fec2a07d2d4bcd16ff8a7,Will Crude Oil (CL) hit (HIGH) $110 by end of June?,0.0600,1,0.8836,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,closed_book,SZtPUQqhp5,Will Intel Stock (INTC) reach $63 in 2026?,0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,closed_book,0x58234757c9519ddfffdbc8f33bea3b172d5a55a7fedb07c6df4fed1e97ba1ca7,Will the Detroit Pistons win the 2025–2026 NBA Central Division?,0.0800,1,0.8464,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,closed_book,0IUCA5s8EN,Will the US strike Iran by the end of February?,0.1300,1,0.7569,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,closed_book,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.0100,1,0.9801,"forecast<0.2, outcome=1"
