section,label,value
leaderboard,rank_by_brier,"model,type,mean_brier,brier_index,parse_rate,mean_latency_s"
leaderboard,rank_1,"gpt-5.4,reasoning,0.1367,63.02,100.0%,61.62"
leaderboard,rank_2,"gemini-3.1-pro,reasoning,0.1432,62.16,99.7%,35.36"
leaderboard,rank_3,"kimi-k2.6,reasoning,0.1440,62.05,100.0%,249.2"
leaderboard,rank_4,"claude-opus-4.6,reasoning,0.1464,61.73,100.0%,39.16"
leaderboard,rank_5,"grok-4.20,reasoning,0.1608,59.90,100.0%,28.52"
leaderboard,rank_6,"deepseek-v3.2-speciale,reasoning,0.1644,59.46,100.0%,196.9"
leaderboard,rank_7,"glm-5.1,standard,0.1734,58.36,99.7%,76.59"
leaderboard,rank_8,"qwen3-max,reasoning,0.1755,58.11,99.4%,250.54"
leaderboard,rank_9,"gpt-oss-120b,reasoning,0.1756,58.10,99.4%,85.64"
leaderboard,rank_10,"gemma-4-31b,standard,0.1783,57.78,100.0%,39.33"
leaderboard,rank_11,"gemini-3-flash,standard,0.1789,57.70,100.0%,5.53"
leaderboard,rank_12,"mistral-large,standard,0.2155,53.58,100.0%,17.39"
market_baseline,market_overall_brier,0.0949
market_baseline,gpt-5.4,model=0.1367 mkt=0.0948 delta=0.0419 beats=False
market_baseline,gemini-3.1-pro,model=0.1432 mkt=0.0951 delta=0.0481 beats=False
market_baseline,kimi-k2.6,model=0.1440 mkt=0.0948 delta=0.0492 beats=False
market_baseline,claude-opus-4.6,model=0.1464 mkt=0.0948 delta=0.0516 beats=False
market_baseline,grok-4.20,model=0.1608 mkt=0.0948 delta=0.0660 beats=False
market_baseline,deepseek-v3.2-speciale,model=0.1644 mkt=0.0948 delta=0.0695 beats=False
market_baseline,glm-5.1,model=0.1734 mkt=0.0951 delta=0.0783 beats=False
market_baseline,qwen3-max,model=0.1755 mkt=0.0954 delta=0.0801 beats=False
market_baseline,gpt-oss-120b,model=0.1756 mkt=0.0947 delta=0.0808 beats=False
market_baseline,gemma-4-31b,model=0.1783 mkt=0.0948 delta=0.0834 beats=False
market_baseline,gemini-3-flash,model=0.1789 mkt=0.0948 delta=0.0841 beats=False
market_baseline,mistral-large,model=0.2155 mkt=0.0948 delta=0.1206 beats=False
pxc_interaction,header,"prompt,CB_brier,SE_brier,SE-CB_delta"
pxc_interaction,P1,"0.1740,0.1518,-0.0221"
pxc_interaction,P2,"0.1754,0.1486,-0.0268"
pxc_interaction,P3,"0.1897,0.1569,-0.0328"
calibration,mean_forecast,0.2849
calibration,sd_forecast,0.2941
calibration,pct_below_0.1,36.6%
calibration,pct_above_0.9,5.2%
calibration,pct_mid_0.1-0.9,58.2%
calibration,ECE,0.0819
type_comparison,reasoning,brier=0.1558 parse=99.8% lat=118.37s itok=2490 otok=4845
type_comparison,standard,brier=0.1865 parse=99.9% lat=34.71s itok=2546 otok=1116
