model_key,model_type,P123_brier,P123_market,P123_delta,P4_brier,P4_market,P4_delta,n_rows
gpt-5.4,reasoning,0.1367,0.0948,0.0419,0.1246,0.0957,0.0289,684
gemini-3.1-pro,reasoning,0.1432,0.0951,0.0481,0.1370,0.0964,0.0407,682
kimi-k2.6,reasoning,0.1440,0.0948,0.0492,0.1421,0.0955,0.0465,684
claude-opus-4.6,reasoning,0.1464,0.0948,0.0516,0.1433,0.0948,0.0485,684
grok-4.20,reasoning,0.1608,0.0948,0.0660,0.1521,0.0952,0.0568,684
deepseek-v3.2-speciale,reasoning,0.1644,0.0948,0.0695,0.1474,0.0943,0.0531,684
glm-5.1,reasoning*,0.1734,0.0951,0.0783,0.1684,0.0981,0.0703,682
qwen3-max,reasoning,0.1755,0.0954,0.0801,0.1734,0.0959,0.0775,680
gpt-oss-120b,reasoning,0.1756,0.0947,0.0808,0.1467,0.0914,0.0553,680
gemma-4-31b,standard,0.1783,0.0948,0.0834,0.1641,0.0950,0.0691,684
gemini-3-flash,standard,0.1789,0.0948,0.0841,0.1650,0.0948,0.0702,684
mistral-large,standard,0.2155,0.0948,0.1206,0.1622,0.0951,0.0671,684
