model_key,model_type,P1_CL,P1_CL_n,P1_SH,P1_SH_n,P2_CL,P2_CL_n,P2_SH,P2_SH_n,P3_CL,P3_CL_n,P3_SH,P3_SH_n,P4_CL,P4_CL_n,P4_SH,P4_SH_n,best_CB,best_SE
gpt-5.4,reasoning,0.1421,114,0.1245,114,0.1476,114,0.1412,114,0.1484,114,0.1166,114,0.1371,113,0.1121,113,P4,P4
gemini-3.1-pro,reasoning,0.1691,114,0.1065,114,0.1748,114,0.1170,114,0.1750,113,0.1168,113,0.1458,103,0.1286,107,P4,P1
kimi-k2.6,reasoning,0.1618,114,0.1414,114,0.1654,114,0.1185,114,0.1503,114,0.1267,114,0.1523,114,0.1317,112,P3,P2
claude-opus-4.6,reasoning,0.1611,114,0.1369,114,0.1677,114,0.1232,114,0.1628,114,0.1269,114,0.1518,114,0.1349,114,P4,P2
grok-4.20,reasoning,0.1779,114,0.1544,114,0.1764,114,0.1398,114,0.1790,114,0.1375,114,0.1708,113,0.1335,114,P4,P4
deepseek-v3.2-speciale,reasoning,0.1763,114,0.1447,114,0.1658,114,0.1476,114,0.1851,114,0.1667,114,0.1643,113,0.1306,113,P4,P4
gpt-oss-120b,reasoning,0.1683,114,0.1504,113,0.1637,113,0.1543,114,0.2222,112,0.1950,114,0.1576,112,0.1360,114,P4,P4
glm-5.1,standard,0.1802,114,0.1611,113,0.1979,114,0.1521,113,0.1917,114,0.1570,114,0.1670,113,0.1699,107,P4,P2
qwen3-max,reasoning,0.1886,114,0.1468,114,0.1860,113,0.1550,113,0.1925,113,0.1843,113,0.1913,112,0.1558,113,P2,P1
gemma-4-31b,standard,0.1748,114,0.1731,114,0.1879,114,0.1620,114,0.1961,114,0.1757,114,0.1807,112,0.1479,114,P1,P4
gemini-3-flash,standard,0.1942,114,0.1666,114,0.1855,114,0.1671,114,0.1899,114,0.1702,114,0.1772,114,0.1528,114,P4,P4
mistral-large,standard,0.1932,114,0.2157,114,0.1859,114,0.2050,114,0.2838,114,0.2091,114,0.1864,114,0.1379,113,P2,P4
