model,model_type,cb_brier,se_brier,delta_se_minus_cb
gemini-3.1-pro,reasoning,0.1741,0.1109,-0.0632
glm-5.1,standard,0.1906,0.1551,-0.0355
claude-opus-4.6,reasoning,0.1612,0.1274,-0.0338
grok-4.20,reasoning,0.1778,0.1444,-0.0334
kimi-k2.6,reasoning,0.1552,0.1255,-0.0297
qwen3-max,reasoning,0.1890,0.1625,-0.0265
gemini-3-flash,standard,0.1912,0.1680,-0.0232
gpt-5.4,reasoning,0.1460,0.1274,-0.0186
deepseek-v3.2-speciale,reasoning,0.1712,0.1538,-0.0174
gemma-4-31b,standard,0.1869,0.1703,-0.0167
gpt-oss-120b,standard,0.1918,0.1788,-0.0130
mistral-large,standard,0.2188,0.2117,-0.0071
