model,mean_forecast,std_forecast,pct_below_01,pct_above_09,pct_01_to_09,n
claude-opus-4.6,0.2198,0.2960,56.5926,6.2222,37.1852,675
deepseek-v3.2-speciale,0.3147,0.3062,30.7692,5.4734,63.7574,676
gemini-3-flash,0.3247,0.3023,30.7018,6.1404,63.1579,684
gemini-3.1-pro,0.2283,0.3033,53.3435,4.8632,41.7933,658
gemma-4-31b,0.3400,0.2934,23.6417,5.5800,70.7783,681
glm-5.1,0.2556,0.3081,47.3445,7.4355,45.2200,659
gpt-5.4,0.2561,0.2664,37.8655,4.8246,57.3099,684
gpt-oss-120b,0.2926,0.2999,36.0068,6.8259,57.1672,586
grok-4.20,0.3108,0.2443,18.9150,2.0528,79.0323,682
kimi-k2.6,0.2323,0.2572,42.5039,2.3184,55.1777,647
mistral-large,0.3982,0.2691,13.4884,3.5659,82.9457,645
qwen3-max,0.2579,0.3240,46.5390,7.2165,46.2445,679
