model_key,model_type,prompt,condition,mean_brier,brier_index,n_valid
gpt-5.4,reasoning,P1,closed_book,0.1421,62.31,114
gpt-5.4,reasoning,P1,shared_evidence,0.1245,64.72,114
gpt-5.4,reasoning,P2,closed_book,0.1476,61.58,114
gpt-5.4,reasoning,P2,shared_evidence,0.1412,62.42,114
gpt-5.4,reasoning,P3,closed_book,0.1484,61.48,114
gpt-5.4,reasoning,P3,shared_evidence,0.1166,65.86,114
claude-opus-4.6,reasoning,P1,closed_book,0.1611,59.86,114
claude-opus-4.6,reasoning,P1,shared_evidence,0.1369,63.00,114
claude-opus-4.6,reasoning,P2,closed_book,0.1677,59.05,114
claude-opus-4.6,reasoning,P2,shared_evidence,0.1232,64.90,114
claude-opus-4.6,reasoning,P3,closed_book,0.1628,59.65,114
claude-opus-4.6,reasoning,P3,shared_evidence,0.1269,64.37,114
gemini-3.1-pro,reasoning,P1,closed_book,0.1691,58.88,114
gemini-3.1-pro,reasoning,P1,shared_evidence,0.1065,67.36,114
gemini-3.1-pro,reasoning,P2,closed_book,0.1748,58.19,114
gemini-3.1-pro,reasoning,P2,shared_evidence,0.1170,65.80,114
gemini-3.1-pro,reasoning,P3,closed_book,0.1750,58.16,113
gemini-3.1-pro,reasoning,P3,shared_evidence,0.1168,65.82,113
grok-4.20,reasoning,P1,closed_book,0.1779,57.82,114
grok-4.20,reasoning,P1,shared_evidence,0.1544,60.71,114
grok-4.20,reasoning,P2,closed_book,0.1764,58.00,114
grok-4.20,reasoning,P2,shared_evidence,0.1398,62.61,114
grok-4.20,reasoning,P3,closed_book,0.1790,57.69,114
grok-4.20,reasoning,P3,shared_evidence,0.1375,62.92,114
qwen3-max,reasoning,P1,closed_book,0.1886,56.57,114
qwen3-max,reasoning,P1,shared_evidence,0.1468,61.68,114
qwen3-max,reasoning,P2,closed_book,0.1860,56.88,113
qwen3-max,reasoning,P2,shared_evidence,0.1550,60.63,113
qwen3-max,reasoning,P3,closed_book,0.1925,56.13,113
qwen3-max,reasoning,P3,shared_evidence,0.1843,57.07,113
deepseek-v3.2-speciale,reasoning,P1,closed_book,0.1763,58.01,114
deepseek-v3.2-speciale,reasoning,P1,shared_evidence,0.1447,61.96,114
deepseek-v3.2-speciale,reasoning,P2,closed_book,0.1658,59.29,114
deepseek-v3.2-speciale,reasoning,P2,shared_evidence,0.1476,61.59,114
deepseek-v3.2-speciale,reasoning,P3,closed_book,0.1851,56.98,114
deepseek-v3.2-speciale,reasoning,P3,shared_evidence,0.1667,59.17,114
kimi-k2.6,reasoning,P1,closed_book,0.1618,59.77,114
kimi-k2.6,reasoning,P1,shared_evidence,0.1414,62.40,114
kimi-k2.6,reasoning,P2,closed_book,0.1654,59.33,114
kimi-k2.6,reasoning,P2,shared_evidence,0.1185,65.57,114
kimi-k2.6,reasoning,P3,closed_book,0.1503,61.24,114
kimi-k2.6,reasoning,P3,shared_evidence,0.1267,64.41,114
gpt-oss-120b,reasoning,P1,closed_book,0.1683,58.98,114
gpt-oss-120b,reasoning,P1,shared_evidence,0.1504,61.21,113
gpt-oss-120b,reasoning,P2,closed_book,0.1637,59.54,113
gpt-oss-120b,reasoning,P2,shared_evidence,0.1543,60.72,114
gpt-oss-120b,reasoning,P3,closed_book,0.2222,52.86,112
gpt-oss-120b,reasoning,P3,shared_evidence,0.1950,55.84,114
gemini-3-flash,standard,P1,closed_book,0.1942,55.93,114
gemini-3-flash,standard,P1,shared_evidence,0.1666,59.18,114
gemini-3-flash,standard,P2,closed_book,0.1855,56.92,114
gemini-3-flash,standard,P2,shared_evidence,0.1671,59.12,114
gemini-3-flash,standard,P3,closed_book,0.1899,56.42,114
gemini-3-flash,standard,P3,shared_evidence,0.1702,58.75,114
gemma-4-31b,standard,P1,closed_book,0.1748,58.20,114
gemma-4-31b,standard,P1,shared_evidence,0.1731,58.39,114
gemma-4-31b,standard,P2,closed_book,0.1879,56.65,114
gemma-4-31b,standard,P2,shared_evidence,0.1620,59.75,114
gemma-4-31b,standard,P3,closed_book,0.1961,55.72,114
gemma-4-31b,standard,P3,shared_evidence,0.1757,58.08,114
glm-5.1,standard,P1,closed_book,0.1802,57.55,114
glm-5.1,standard,P1,shared_evidence,0.1611,59.86,113
glm-5.1,standard,P2,closed_book,0.1979,55.52,114
glm-5.1,standard,P2,shared_evidence,0.1521,61.00,113
glm-5.1,standard,P3,closed_book,0.1917,56.22,114
glm-5.1,standard,P3,shared_evidence,0.1570,60.38,114
mistral-large,standard,P1,closed_book,0.1932,56.05,114
mistral-large,standard,P1,shared_evidence,0.2157,53.55,114
mistral-large,standard,P2,closed_book,0.1859,56.89,114
mistral-large,standard,P2,shared_evidence,0.2050,54.73,114
mistral-large,standard,P3,closed_book,0.2838,46.72,114
mistral-large,standard,P3,shared_evidence,0.2091,54.27,114
